0,119,35224,,,,,,,,,,,,[0.96893113 0.6732592  0.43887536],,,,,,[0.94017665 0.35210763 0.33440959],,
0,120,35520,,,,,,,,,,,,[0.96531689 0.66932816 0.42985677],,,,,,[0.93817244 0.39779388 0.32535419],,
0,121,35816,,,,,,,,,,,,[0.967756   0.67286717 0.42324152],,,,,,[0.94258988 0.3740237  0.32627598],,
0,122,36112,,,,,,,,,,,,[0.96925298 0.69044942 0.43030732],,,,,,[0.94173776 0.39862589 0.33296477],,
0,123,36408,,,,,,,,,,,,[0.96886026 0.69042008 0.44351885],,,,,,[0.94076453 0.39959603 0.34083246],,
0,124,36704,,,,,,,,,,,,[0.96522034 0.67478091 0.4285103 ],,,,,,[0.93238581 0.37619191 0.32699443],,
0,125,37000,,,,,,,,,,,,[0.96882892 0.68683332 0.43288475],,,,,,[0.93962673 0.39327375 0.331956  ],,
0,126,37296,,,,,,,,,,,,[0.96064872 0.65420629 0.43432822],,,,,,[0.92955653 0.38566437 0.33534947],,
0,127,37592,,,,,,,,,,,,[0.96870598 0.6784969  0.43606275],,,,,,[0.94051159 0.3819469  0.32444476],,
0,128,37888,,,,,,,,,,,,[0.96568528 0.67648532 0.43516197],,,,,,[0.93575576 0.39956316 0.32774087],,
0,129,38184,,,,,,,,,,,,[0.96734222 0.67350749 0.43510503],,,,,,[0.93490616 0.36952551 0.33236465],,
0,130,38480,,,,,,,,,,,,[0.96741103 0.67120884 0.43292577],,,,,,[0.94192514 0.39683764 0.33280321],,
0,131,38776,,,,,,,,,,,,[0.96963783 0.68411593 0.43531524],,,,,,[0.94472558 0.40200372 0.32464692],,
0,132,39072,,,,,,,,,,,,[0.96318796 0.66015929 0.4459341 ],,,,,,[0.93618673 0.39150697 0.33921968],,
0,133,39368,,,,,,,,,,,,[0.96869165 0.68975084 0.40706319],,,,,,[0.94169249 0.40600369 0.30854985],,
0,134,39664,,,,,,,,,,,,[0.96935268 0.68354234 0.43835633],,,,,,[0.94513769 0.40243281 0.34339387],,
0,135,39960,,,,,,,,,,,,[0.96358914 0.66280255 0.44083709],,,,,,[0.93335444 0.37755313 0.33102686],,
0,136,40256,,,,,,,,,,,,[0.96414121 0.67128104 0.44827057],,,,,,[0.93097728 0.38024677 0.34338254],,
0,137,40552,,,,,,,,,,,,[0.96772789 0.68915076 0.44359886],,,,,,[0.94154726 0.4228609  0.32281563],,
