 4.92220000e+04],,,,,,,
0,17,5032,,,,,,,,,,,,,[1.71768494e+08 8.15212100e+06 1.59800000e+04 6.05025900e+06
 9.49807000e+06 1.31722000e+05 1.57077000e+05 6.05440000e+05
 2.28858000e+05],,,,,,,
0,18,5328,,,,,,,,,,,,,[1.78647554e+08 1.28327200e+06 5.76900000e+03 1.02499330e+07
 5.35708900e+06 7.30290000e+04 3.82084000e+05 4.32887000e+05
 1.76404000e+05],,,,,,,
0,19,5624,,,,,,,,,,,,,[1.68540023e+08 1.13957240e+07 8.48000000e+02 3.63479400e+06
 1.20113640e+07 3.38930000e+04 1.42964000e+05 7.27849000e+05
 1.20562000e+05],,,,,,,
0,20,5920,,,,,,,,,,,,,[1.71677939e+08 8.25803400e+06 6.22000000e+02 4.19136000e+06
 1.14698560e+07 1.88350000e+04 1.83453000e+05 7.25716000e+05
 8.22060000e+04],,,,,,,
0,21,6216,,,,,,,,,,,,,[1.76911725e+08 3.01965200e+06 5.21800000e+03 6.91921900e+06
 8.68778100e+06 7.30510000e+04 3.04577000e+05 5.21039000e+05
 1.65759000e+05],,,,,,,
0,22,6512,,,,,,,,,,,,,[1.67606656e+08 1.22924380e+07 3.75010000e+04 2.94354500e+06
 1.25766260e+07 1.59880000e+05 1.37325000e+05 5.94757000e+05
 2.59293000e+05],,,,,,,
0,23,6808,,,,,,,,,,,,,[1.74406676e+08 5.50966900e+06 2.02500000e+04 4.76471800e+06
 1.07827350e+07 1.32598000e+05 1.76274000e+05 5.48097000e+05
 2.67004000e+05],,,,,,,
0,24,7104,,,,,,,,,,,,,[1.75896613e+08 4.02017600e+06 1.98060000e+04 6.34700000e+06
 9.20856800e+06 1.24483000e+05 1.80757000e+05 5.36749000e+05
 2.73869000e+05],,,,,,,
0,25,7400,,,,,,,,,,,,,[1.68789875e+08 1.11277350e+07 1.89850000e+04 3.38615000e+06
 1.21788790e+07 1.15022000e+05 1.25914000e+05 5.94413000e+05
 2.71048000e+05],,,,,,,
0,26,7696,,,,,,,,,,,,,[1.77092966e+08 2.83585300e+06 7.77600000e+03 7.47244000e+06
 8.08513800e+06 1.22473000e+05 3.00097000e+05 4.47097000e+05
 2.44181000e+05],,,,,,,
0,27,7992,,,,,,,,,,,,,[1.71847975e+08 8.05412600e+06 3.44940000e+04 3.77703700e+06
 1.16663360e+07 2.36678000e+05 1.56272000e+05 4.72963000e+05
 3.62140000e+05],,,,,,,
0,28,8288,,,,,,,,,,,,,[1.75987355e+08 3.88088300e+06 6.83570000e+04 7.05183600e+06
 8.29104400e+06 3.37171000e+05 1.43449000e+05 3.90068000e+05
 4.57858000e+05],,,,,,,
0,29,8584,,,,,,,,,,,,,[1.76008283e+08 3.90338500e+06 2.49270000e+04 5.73893000e+06
 9.77151800e+06 1.69603000e+05 1.94798000e+05 4.71432000e+05
 3.25145000e+05],,,,,,,
0,30,8880,,,,,,,,,,,,,[1.74024401e+08 5.87757400e+06 3.46200000e+04 4.18237900e+06
