fold,epoch,iteration,elapsed_time,train/loss,train/acc,train/acc_cls,train/mean_iu,train/fwavacc,train_total/loss,train_total/acc,train_total/acc_cls,train_total/mean_iu,train_total/fwavacc,train_total/iu_cls,train_total/confusion_matrix,valid/loss,valid/acc,valid/acc_cls,valid/mean_iu,valid/iu_cls,valid/confusion_matrix,valid/fwavacc
0,64,18944,,,,,,,,,,,,[ 0.96043923  0.63842378  0.41014035         nan],,,,,,[ 0.92655114  0.36644244  0.27439051         nan],,
0,65,19240,,,,,,,,,,,,[ 0.96440806  0.65177214  0.40419833         nan],,,,,,[ 0.93482206  0.37365816  0.26189533         nan],,
0,66,19536,,,,,,,,,,,,[ 0.96490804  0.64801856  0.41231492         nan],,,,,,[ 0.9388199   0.37814266  0.27601432         nan],,
0,67,19832,,,,,,,,,,,,[ 0.96405838  0.64605765  0.40859047         nan],,,,,,[ 0.93555769  0.35596815  0.2734634          nan],,
0,68,20128,,,,,,,,,,,,[ 0.96146809  0.63794679  0.40923414         nan],,,,,,[ 0.93282991  0.38183     0.26328644         nan],,
0,69,20424,,,,,,,,,,,,[ 0.96394352  0.64703108  0.4120364          nan],,,,,,[ 0.93671878  0.37583304  0.26883873         nan],,
0,70,20720,,,,,,,,,,,,[ 0.96545968  0.65952437  0.40913733         nan],,,,,,[ 0.93497137  0.37547405  0.27352761         nan],,
0,71,21016,,,,,,,,,,,,[ 0.96517691  0.65422203  0.41322749         nan],,,,,,[ 0.93527149  0.37095234  0.27836322         nan],,
0,72,21312,,,,,,,,,,,,[ 0.96572994  0.65372415  0.41774201         nan],,,,,,[ 0.93727362  0.36466035  0.28150533         nan],,
0,73,21608,,,,,,,,,,,,[ 0.9648383   0.6578311   0.41511866         nan],,,,,,[ 0.9353695   0.3787882   0.26634367         nan],,
0,74,21904,,,,,,,,,,,,[ 0.96303187  0.64922143  0.41892404         nan],,,,,,[ 0.93387691  0.37399413  0.27058137         nan],,
0,75,22200,,,,,,,,,,,,[ 0.96558681  0.65387334  0.40429998         nan],,,,,,[ 0.93708644  0.37647651  0.26102749         nan],,
0,76,22496,,,,,,,,,,,,[ 0.96599289  0.66071962  0.43125114         nan],,,,,,[ 0.93824307  0.37633203  0.27638602         nan],,
0,77,22792,,,,,,,,,,,,[ 0.96386827  0.65438136  0.4216477          nan],,,,,,[ 0.93319114  0.37892469  0.27184475         nan],,
